"","value_level","fans_label","up_cnt"
"1",0,2,83344
"2",1,2,26594
"3",1,3,3468
"4",1,1,349596
"5",1,3,1596
"6",2,2,6064
"7",2,3,177
"8",2,2,28603
"9",2,3,22
"10",2,2,2855
"11",2,2,6146
"12",2,2,4824
"13",2,2,1657
"14",2,2,11946
"15",2,2,12492
"16",2,2,2400
"17",2,2,2311
"18",2,1,445
"19",2,2,11932
"20",2,2,40075
"21",3,3,1541
"22",3,3,311
"23",3,1,128339
"24",3,1,20613
"25",3,3,16994
"26",3,3,5743
"27",3,1,22908
"28",3,1,43041
"29",3,2,13853
"30",3,1,38910
"31",3,1,12519
"32",3,3,3172
"33",3,3,3219
"34",3,3,2
"35",3,2,156
"36",3,2,33632
"37",3,2,23358
"38",3,1,8401
"39",0,3,15992
"40",1,3,3950
"41",1,1,292702
"42",1,1,181337
"43",1,2,7943
"44",1,1,27669
"45",1,1,16466
"46",2,3,1371
"47",2,3,2266
"48",2,1,169192
"49",2,1,375421
"50",2,1,143928
"51",2,3,693
"52",2,1,3098
"53",2,3,1049
"54",2,3,975
"55",2,3,413
"56",2,1,201021
"57",2,3,1768
"58",2,3,2159
"59",2,3,440
"60",2,3,545
"61",2,2,207
"62",2,1,4894
"63",2,3,1310
"64",2,3,5477
"65",3,2,17957
"66",3,2,43621
"67",3,2,36514
"68",3,2,54557
"69",3,3,3519
"70",3,2,11932
"71",3,2,3051
"72",3,1,7476
"73",3,3,100
"74",3,1,192
"75",3,1,716
"76",3,3,34111
"77",3,3,25129
"78",3,1,956
"79",3,1,2884
"80",3,2,27677
"81",1,2,3721
"82",1,2,2954
"83",1,1,1017548
"84",1,3,1552
"85",1,2,850
"86",1,1,268012
"87",1,2,972
"88",2,1,8676
"89",2,2,40147
"90",2,2,74433
"91",2,2,23759
"92",2,1,93
"93",2,2,7809
"94",2,2,14983
"95",2,3,18
"96",2,2,5296
"97",3,1,83080
"98",3,1,15299
"99",3,3,2639
"100",3,3,11750
"101",3,1,55165
"102",3,1,26266
"103",3,3,11116
"104",3,3,17471
"105",3,3,2021
"106",3,3,512
"107",3,1,37931
"108",3,1,48635
"109",3,2,1495
"110",3,2,471
"111",3,2,3733
"112",3,2,5703
"113",3,2,15930
"114",3,3,30254
"115",0,1,10449773
"116",1,1,2953518
"117",1,3,704
"118",1,3,389
"119",1,2,23296
"120",1,3,106
"121",1,2,11181
"122",1,3,106
"123",2,1,293118
"124",2,2,1380
"125",2,1,117523
"126",2,3,3855
"127",2,3,8807
"128",2,3,3211
"129",2,2,98
"130",2,1,1530
"131",2,3,1796
"132",2,1,162220
"133",2,1,139162
"134",2,1,58454
"135",2,3,1764
"136",2,1,179364
"137",2,1,226801
"138",2,1,47648
"139",2,1,56155
"140",2,3,563
"141",2,1,11008
"142",2,1,52218
"143",3,2,9270
"144",3,2,1815
"145",3,2,54053
"146",3,2,20511
"147",3,1,23302
"148",3,2,20408
"149",3,2,20073
"150",3,3,241
"151",3,2,7
"152",3,1,107
"153",3,3,354
"154",3,3,3301
"155",3,1,6313
"156",3,1,4436
"157",3,3,5573
"158",3,3,15892
